calories,proteins,fat,carbohydrate,kategori_nutrisi,kategori_nutrisi_encoded
355.0,9.2,3.9,73.7,0,0
154.0,3.8,3.5,28.4,0,0
140.0,4.7,1.3,33.1,0,0
355.0,9.2,3.9,73.7,0,0
35.0,2.2,0.1,7.4,0,0
147.0,5.1,0.7,31.5,0,0
142.0,5.0,0.7,30.3,0,0
367.0,6.2,5.1,76.2,0,0
368.0,5.5,4.6,78.0,0,0
361.0,8.7,4.5,72.4,0,0
129.0,4.1,1.3,30.3,0,0
307.0,7.9,3.4,63.6,0,0
355.0,9.2,3.9,73.7,0,0
140.0,4.7,1.3,33.1,0,0
175.0,1.8,1.8,35.0,0,0
148.9,10.4,10.4,20.1,1,1
374.0,9.4,2.2,79.1,0,0
51.0,1.5,1.0,10.1,0,0
289.0,11.0,4.0,61.0,1,1
239.0,0.5,0.6,64.5,0,0
286.0,48.5,9.2,2.3,1,1
46.0,0.6,0.0,11.8,0,0
49.0,0.9,0.3,12.2,0,0
61.0,0.9,0.3,15.4,0,0
56.0,0.6,0.3,14.2,0,0
64.0,0.7,0.6,15.8,0,0
350.0,6.2,1.4,78.2,0,0
45.0,2.5,3.9,0.0,0,0
296.0,9.4,1.1,62.0,0,0
294.0,16.0,0.9,64.6,1,1
21.0,3.8,0.6,0.9,0,0
30.0,3.5,0.2,4.0,0,0
48.0,2.8,4.1,2.9,0,0
48.0,1.9,3.2,2.8,0,0
30.0,1.9,0.1,5.5,0,0
107.0,5.3,2.2,16.5,0,0
31.0,1.2,0.3,7.1,0,0
500.0,1.2,25.1,67.3,0,0
48.0,2.5,4.2,0.0,0,0
334.0,9.7,3.5,73.4,0,0
381.7,9.5,9.5,65.8,0,0
192.0,5.4,0.3,40.7,0,0
48.0,0.6,0.2,12.4,0,0
61.0,0.8,0.2,14.1,0,0
44.0,0.8,0.3,10.9,0,0
39.0,0.3,0.3,8.9,0,0
45.0,0.9,0.2,11.2,0,0
37.0,0.8,0.1,12.3,0,0
49.0,0.7,0.2,11.1,0,0
32.0,1.9,0.3,7.1,0,0
15.0,15.2,4.3,8.8,1,1
130.0,6.7,0.3,25.2,0,0
133.0,1.0,0.2,32.2,0,0
250.0,2.6,2.5,35.4,0,0
356.0,20.5,4.1,61.6,1,1
330.0,23.8,1.4,60.2,1,1
533.0,27.8,38.1,28.8,0,0
341.0,30.4,3.2,51.3,1,1
400.0,34.4,16.9,34.1,1,1
204.0,16.9,8.8,17.5,1,1
212.0,17.5,10.0,12.9,1,1
118.0,4.4,1.5,21.6,0,0
479.0,12.7,23.2,58.9,1,1
370.0,16.0,6.0,65.0,1,1
161.0,7.7,2.8,27.1,0,0
165.0,7.7,3.1,27.4,0,0
331.0,25.0,1.0,58.0,1,1
129.0,12.4,0.7,18.3,1,1
336.0,23.1,1.7,59.5,1,1
516.0,14.7,31.1,44.4,0,0
336.0,20.7,1.4,62.0,1,1
316.0,20.7,1.0,58.0,1,1
114.0,7.0,0.6,20.8,0,0
123.0,8.4,0.6,1.8,0,0
147.0,9.0,0.5,27.5,0,0
323.0,22.9,1.5,56.8,1,1
109.0,8.7,0.5,18.3,0,0
350.0,17.1,1.8,70.7,1,1
339.0,20.8,2.1,64.6,1,1
346.0,16.6,1.7,66.1,1,1
345.0,22.2,1.2,62.9,1,1
445.0,11.0,11.0,65.5,1,1
98.0,6.7,0.4,17.7,0,0
286.0,30.2,15.6,30.1,1,1
521.0,32.2,37.7,22.9,0,0
381.0,40.4,16.7,24.9,1,1
75.0,4.1,2.1,10.7,0,0
189.0,20.2,8.2,12.7,1,1
286.0,30.2,15.6,30.1,1,1
327.0,16.4,4.3,55.8,1,1
355.0,17.0,2.5,66.0,1,1
346.0,16.5,1.5,66.6,1,1
22.0,1.1,1.0,3.4,0,0
344.0,16.7,2.1,64.6,1,1
336.0,23.1,1.7,59.5,1,1
350.0,13.9,3.0,66.9,1,1
314.0,22.1,1.1,56.2,1,1
158.0,10.3,0.9,28.2,1,1
171.0,11.0,2.2,28.0,1,1
144.0,10.0,1.0,24.7,1,1
280.0,16.7,1.6,63.2,1,1
629.0,20.4,56.3,19.8,0,0
616.0,16.3,48.4,28.7,0,0
480.0,18.4,19.1,58.5,1,1
44.0,2.7,0.3,7.8,0,0
357.0,17.3,1.5,70.0,1,1
39.0,3.0,0.6,7.6,0,0
150.0,2.5,12.5,7.0,0,0
37.0,3.1,0.2,7.9,0,0
484.0,8.8,26.1,57.7,0,0
488.0,25.6,25.6,59.6,1,1
535.0,27.8,38.1,28.8,0,0
564.0,25.5,44.4,25.5,0,0
561.0,25.5,43.8,26.0,0,0
525.0,27.9,42.7,17.4,0,0
385.0,14.0,31.0,13.0,1,1
360.0,13.5,31.2,12.8,1,1
513.0,17.5,32.5,44.3,0,0
569.0,28.8,48.4,15.8,0,0
559.0,26.9,44.2,23.6,0,0
561.0,25.5,43.8,26.0,0,0
748.0,20.8,20.8,124.8,0,0
331.0,24.4,1.9,56.6,1,1
138.0,10.7,1.1,22.6,1,1
342.0,22.9,1.4,61.6,1,1
138.0,10.7,1.1,22.6,1,1
451.0,11.2,20.2,59.7,1,1
351.0,12.2,1.2,72.9,1,1
358.0,23.4,2.4,60.6,1,1
354.0,12.8,1.8,69.3,1,1
110.0,4.5,6.9,7.1,0,0
413.0,28.7,19.8,29.8,1,1
92.0,20.0,0.7,0.0,1,1
66.0,2.8,6.8,3.4,0,0
163.0,16.5,9.0,4.1,1,1
122.0,13.8,5.7,3.9,1,1
157.0,8.1,8.8,11.4,0,0
193.0,10.6,12.4,9.7,1,1
149.0,16.6,9.2,0.0,1,1
164.0,3.0,2.4,32.6,0,0
29.0,3.0,0.3,5.4,0,0
30.0,3.2,0.7,4.7,0,0
22.0,2.5,0.6,3.1,0,0
43.0,1.8,0.2,8.4,0,0
52.0,1.8,3.6,3.0,0,0
38.0,2.4,2.0,2.6,0,0
42.0,3.3,0.2,9.6,0,0
41.0,2.0,0.3,7.8,0,0
158.0,4.4,3.2,27.8,0,0
25.0,2.3,0.2,3.5,0,0
146.7,5.9,5.9,19.7,0,0
92.0,2.2,3.3,14.1,0,0
292.0,11.2,11.2,2.8,1,1
73.0,16.4,0.3,0.0,1,1
275.0,12.6,14.8,54.6,1,1
356.0,9.0,8.5,64.5,0,0
120.0,3.5,2.5,20.8,0,0
46.0,5.7,1.3,9.0,0,0
464.0,1.2,18.6,73.0,0,0
